,0
1171,joke
1172,like
1173,share
1174,donâ
1175,36
1176,rt
1177,meet
1178,one
1179,girl
1180,monday
1181,talk
1182,day
1183,next
1184,want
1185,pizza
1186,chicago
1187,weekend
1188,fly
1189,usâ
1190,rt
1191,“
1192,¹
1193,highlights
1194,pope
1195,francis
1196,lead
1197,way
1198,cross
1199,feature
1200,meditation
1201,prepare
1202,child
1203,st
1204,peter's
1205,square
1206,goodâ
1207,rt
1208,thread
1209,funny
1210,april
1211,fool
1212,joke
1213,37
1214,rt
1215,meet
1216,one
1217,girl
1218,monday
1219,talk
1220,day
1221,next
1222,want
1223,pizza
1224,chicago
1225,weekend
1226,fly
1227,usâ
1228,spend
1229,friday
1230,evening
1231,think
1232,ronan
1233,go
1234,barn
1235,dream
1236,wouldnâ
1237,dream
1238,bee
1239,neaâ
1240,april
1241,1st
1242,mean
1243,usopp's
1244,birthday
1245,³
1246,38
1247,yessir
1248,hope
1249,monday
1250,great
1251,"""rt"
1252,happy
1253,good
1254,friday
1255,friends
1256,jesus
1257,die
1258,us
1259,totally
1260,forget
1261,april
1262,fool
1263,39
1264,rt
1265,nascar
1266,executive
1267,vp
1268,steve
1269,oâ
1270,donnell
1271,give
1272,assessment
1273,bristol
1274,dirt
1275,weekend
1276,race
1277,monday
1278,"â€¦,""rt"
1279,look
1280,jesus
1281,tolerate
1282,throw
1283,insult
1284,inflicted
1285,pain
1286,good
1287,friday
1288,hurt
1289,grudge
1290,aâ
1291,rt
1292,base
1293,problem
1294,cobb
1295,gop
1296,send
1297,email
1298,member
1299,today
1300,say
1301,republican
1302,brad
1303,raffensperger
1304,go
1305,headline
1306,thâ
1307,40
1308,thank
1309,u
1310,happy
1311,monday
1312,rt
1313,friday
1314,start
1315,#horror
1316,weekend
1317,@â
1318,weâ
1319,april
1320,fool
1321,think
1322,41
1323,rt
1324,another
1325,monday
1326,another
1327,sad
1328,photo
1329,maxx
1330,april
1331,21
1332,maxx
1333,care
1334,one
1335,year
1336,let's
1337,find
1338,home
1339,befoâ
1340,rt
1341,next
1342,week's
1343,moonbyul's
1344,studio
1345,moon
1346,night
1347,monday
1348,wjsn
1349,soobin
1350,dayoung
1351,yeonjung
1352,luda
1353,exy
1354,wednesday
1355,g
1356,sâ
1357,rt
1358,happy
1359,april
1360,fools
1361,day
1362,forecast
1363,balmy
1364,high
1365,280s
1366,across
1367,region
1368,enjoy
1369,µ
1370,#pawx
1371,#njwx
1372,#mdwx
1373,#dewxâ
1374,42
1375,rt
1376,enjoy
1377,monke
1378,flip
1379,fine
1380,monke
1381,monday
1382,:)
1383,"""rt"
1384,like
1385,tweet
1386,100
1387,winner
1388,choose
1389,70
1390,minute
1391,start
1392,stream
1393,stream
1394,start
1395,9:00
1396,pm
1397,est
1398,happy
1399,friday
1400,rt
1401,realize
1402,youâ
1403,fool
1404,happy
1405,april
1406,fool
1407,‚
1408,attack
1409,titan
1410,43
1411,rt
1412,happy
1413,monday
1414,210326
1415,#johnny
1416,#ìÿˆë
1417,‹
1418,ˆâ
1419,ã
1420,‚
1421,ãƒ
1422,£
1423,ãƒ
1424,‹
1425,ãƒ
1426,¼
1427,à
1428,ˆà
1429,­
1430,à
1431,«
1432,à
1433,¹
1434,œà
1435,à
1436,à
1437,µà
1438,¹
1439,ˆ
1440,#johfam
1441,#nct
1442,""",rt"
1443,good
1444,morning
1445,today
1446,good
1447,friday
1448,thank
1449,jesus
1450,love
1451,sacrifice
1452,rt
1453,release
1454,photo
1455,jaebeom
1456,star
1457,april
1458,2021
1459,©
1460,44
1461,use
1462,§
1463,want
1464,motivation
1465,monday
1466,practice
1467,thing
1468,apply
1469,playing
1470,musical
1471,context
1472,fâ
1473,""","
1474,interesting
1475,tweet
1476,bishop
1477,good
1478,friday
1479,roy
1480,leaving
1481,dodgers
1482,lose
1483,opening
1484,day
1485,lakers
1486,trash
1487,way
1488,start
1489,april
1490,:(
1491,45
1492,rt
1493,starting
1494,monday
1495,april
1496,5th
1497,bnc
1498,welcome
1499,black
1500,news
1501,tonight
1502,marc
1503,lamont
1504,hill
1505,new
1506,prime
1507,time
1508,cable
1509,news
1510,line
1511,wâ
1512,word
1513,catholic
1514,churchâ
1515,œno
1516,meat
1517,friday
1518,“
1519,fish
1520,onlyâ
1521,rule
1522,work
1523,italian
1524,fishingâ
1525,"""rt"
1526,ghosts
1527,arenâ
1528,real
1529,april
1530,foolâ
1531,bitch
1532,46
1533,rt
1534,andrade
1535,say
1536,ask
1537,release
1538,monday
1539,late
1540,test
1541,postive
1542,covid
1543,19
1544,time
1545,charlotte
1546,rt
1547,friday
1548,cash
1549,app
1550,250
1551,rt
1552,absolute
1553,crazy
1554,month
1555,member
1556,manage
1557,secure
1558,"250,000"
1559,profit
1560,sneaker
1561,card
1562,consolesâ
1563,47
1564,rt
