,Tweets
78,RT @grandma_goodie: Take 10 minutes to remember what Good Friday is about in Easter Story #7 Jesus on Trial &amp; Dying on a Cross: Amazing Hap…
79,"RT @plushieghoul: Meet Ophelia🌸🦇

adoptable friday 4/9 @ 6PM EST!

(read her story below) https://t.co/nTDsTKNQQx"
80,RT @JohnFugelsang: This Good Friday remember that if there was no Death Penalty Jesus might still be around.
81,RT @GatorsDaily: ITS FLAT FUCK FRIDAY!!!! https://t.co/t8BE2CGF8F
82,"RT @mmpadellan: Happy Friday to everyone who hasn't done sex trafficking, tried to pay prostitutes with Apple Pay, and then showed pictures…"
83,Happy Friday all https://t.co/2LvjYke95G
84,"Life is literally great
GREAT SEX
AMAZING FRIENDS
LOVING FAMILY 
WORKING HARD... what else could I ask for !!🥰 
HAPPY FRIDAY:,)"
85,"California on Friday issued new guidelines allowing for a resumption of attendance at indoor concerts, sporting eve… https://t.co/evMLRyTuSS"
86,RT @YungMiami305: It’s Friday I feel like having fun I wish I can party with y’all ❤️
87,“We wait three days because that’s how long Jesus wanted us to wait. That’s also when he invented the high five” -B… https://t.co/Jb1fjBOMtP
88,"RT @T_S_P_O_O_K_Y: There is no doubt that Noah Green, aka Noah X, was radicalized...
Today's date - Good Friday - and several other clues i…"
89,"RT @HeadbandRoyce: JERSEY GIVEAWAY!
For hitting 1k followers I’m going to be giving away this new Jordan Clarkson jersey to you guys!
All y…"
90,Friday vibez https://t.co/HUiBLQxQOo
91,"RT @k4z1m1r_: If you guys couldn’t tune in, that’s alright. We’ll (@realisotop3 and I) will be back next Friday 5pm EDT."
92,Took 5 tries but we got one finally. Good Friday Jesus dies for you and me and by his grace we are saved! https://t.co/xVkEOoJtCU
93,RT @abidickson01: today has been the most saturdayest Friday I’ve experienced
94,RT @CynthiaSchwind: 🎉🎉Friday Night Raffle 🎉🎉Follow author @MelissaRoske &amp; retweet by 6pm 4/3 for a chance to win #KatGreeneComesClean 🧡🧹🧡🧹🧡…
95,RT @Timodc: My take on Georgia. The entire existence of the legislation in question is premised on a pernicious lie. And pretty much everyo…
96,"RT @Milliganreports: Me “perhaps” (perhaps, perhaps, perhaps) deleting tweets is brought to you by the same peeps that had me tailing the C…"
97,"RT @HarbRimah: 5 machine learning skills you need in the cloud  https://t.co/r3mqHe6lx2  
#MachineLearning #DataScience #Python #AI #100Day…"
98,RT @GatorsDaily: ITS FLAT FUCK FRIDAY!!!! https://t.co/t8BE2CGF8F
99,RT @saracoolpants: friday fit https://t.co/z5DtAaDNm0
100,RT @SVegasWrestling: @SVegasWrestling Episode 28 live streaming tomorrow (Friday) at 6PM UK time on the Skeg Vegas Wrestling YouTube channe…
101,"RT @BerkshireEagle: NORTH ADAMS, Mass. — The Capitol Police officer killed on Friday grew up in northern Berkshire County and graduated fro…"
102,"RT @baddaddyt: Happy Friday, Old Sport. https://t.co/zFgCg2hJ8D"
103,"RT @onefinancefreak: Love me some Friday shoutouts!!

@Budgetdog_ 
@MidnightUDog 
@AdamShoup 
@financeman_ 
@JanineTaverner 
@AFC_FinanceFa…"
104,The man who died on Friday after attacking barricades around the US Capitol has been identified as 25-year old Noah… https://t.co/MhHpJ5Gbe2
105,"RT @TheSamAcho: A beautiful Friday: 

Today is the most important day in the world. A Good Friday. 

Jesus died today: a villains death, so…"
106,"RT @fakeshoredrive: Happy GOOD Friday

Here’s your yearly reminder that we still need every GOOD Friday release on every streaming platform…"
107,"RT @DannyBate4: In the names for Good Friday in spoken European languages, there's a lot of variety - I've so far found four common adjecti…"
108,"RT @TomsTweeters: #ClimateStrikeOnline #DigitalStrike for #FridaysForFuture

Today would really be a Good Friday if the false promises, cle…"
109,"RT @Paula_White: Our Great Friday service begins in an hour. ""For God so loved the world that he gave his one and only Son..."" Join us 7pm…"
110,RT @Brad_D1988: Happy Friday everyone ☀️ https://t.co/umFkI2BtBs
111,"RT @konkrumah: Good Friday in my beloved constituency Ofoase/Ayirebi.

Had the opportunity to replicate the love of Christ  by supporting t…"
112,RT @tilewa__: How’s your Good Friday going ?🤓 https://t.co/n1wWIFSa2b
113,"RT @vmaderna: ✨Doing a lil' giveaway to celebrate 12k Twitter peeps!✨
I'll make a custom postcard-size painting of your favorite animal (ex…"
114,"RT @RichardGrenell: It’s Friday and hope is lost....

Death seems to have won,
Judas has betrayed Him,
His best friend denied Him,
His moth…"
115,RT @JJKPerfectShots: The first Friday without Jujutsu Kaisen... https://t.co/390WQgVjOx
116,"Just a Friday night watching Seaspiracy with my partner and criticizing it!

So far besides our conclusion that thi… https://t.co/rADeTyZ4CS"
117,"RT @Sflecce: “For God so loved the world that He gave His only Son, so that everyone who believes in Him may not perish but may have eterna…"
